name,broj_zarazenih,broj_umrlih,broj_aktivni
Bjelovarsko-bilogorska,22383,393,26
Brodsko-posavska,31031,418,10
Dubrovačko-neretvanska,40132,308,179
Grad Zagreb,256532,4912,526
Istarska,28648,452,34
Karlovačka,28421,762,23
Koprivničko-križevačka,23924,502,6
Krapinsko-zagorska,28903,592,13
Ličko-senjska,10566,226,10
Međimurska,38830,351,19
Osječko-baranjska,59348,1613,77
Požeško-slavonska,12657,219,6
Primorsko-goranska,103736,1015,267
Šibensko-kninska,32290,344,63
Sisačko-moslavačka,35071,383,20
Splitsko-dalmatinska,153734,1318,505
Varaždinska,54014,1020,36
Virovitičko-podravska,14383,263,7
Vukovarsko-srijemska,28409,456,19
Zadarska,48675,474,60
Zagrebačka,90261,10,111
